Artist,Title,Year,Sales,Streams,Rating
"Lenny Kravitz","Are You Gonna Go My Way?",1993,7287,701,2.167
"Poppy Family","Which Way You Goin' Billy?",1970,7286,6447,0.510
"Taylor Dayne","Love Will Lead You Back",1990,7285,4989,1.383
"Jewel","Foolish Games",1997,7281,541,0.526
"Beyonce & Jay-Z","Ballad of Bonnie & Clyde",2003,728,2323,0.520
"Lenny Kravitz","Fly Away",1999,728,2914,1.047
"Lisa Lisa & Cult Jam","Head to Toe",1987,728,5413,0.518
"Sade","Smooth Operator",1984,7279,4002,1.035
"Paul Anka","Puppy Love",1960,7278,3867,0.550
"Natalie Cole & Nat King Cole","Unforgettable",1991,7278,5189,1.915
"The Goo Goo Dolls","Name",1996,7275,4539,1.647
"Nat King Cole","Smile",1954,7268,1972,0.553
"Harry Nilsson","Everybody's Talkin'",1969,7265,7291,0.525
"Sophie Tucker","Some of These Days",1911,7254,6059,0.511
"Billy Ocean","There'll Be Sad Songs (To Make You Cry)",1986,7254,3921,0.520
"Az Yet","Hard to Say I'm Sorry",1997,7254,323,1.117
"Genesis","No Son of Mine",1991,7253,2339,0.833
"Prince","Thieves in the Temple",1990,7249,3234,2.019
"Rob Thomas","Lonely No More",2005,7249,4291,0.550
"Sheryl Crow","If it Makes You Happy",1996,7248,291,1.515
"Kylie Minogue","Slow",2003,7244,711,0.538
"Linkin Park","Numb",2003,7244,5092,0.524
"Pink","Who knew",2006,7242,3736,0.545
"Michael Jackson","Heal the World",1992,7237,1045,1.071
"Panic! At the Disco","I Write Sins Not Tragedies",2006,7233,5529,0.534
"Linda Ronstadt & James Ingram","Somewhere Out There",1987,7232,6174,0.538
"Spice Girls","Too Much",1998,7229,215,1.153
"REM","Shiny Happy People",1991,7227,3356,1.033
"Timmy T","One More Try",1991,7226,493,1.064
"Whitney Houston","It's Not Right, But It's OK",1999,7219,3048,0.520
"Jennifer Lopez","Waiting For Tonight",1999,7218,2207,0.526
"Milli Vanilli","Blame it On the Rain",1989,7218,4556,1.212
"Color Me Badd","All 4 Love",1991,7216,5045,0.600
"The Romantics","Talking in Your Sleep",1984,7214,3717,0.516
"Craig David","Walking Away",2001,7211,1038,0.520
"John Farnham","You're the Voice",1987,721,512,0.510
"Norah Jones","Don't Know Why",2002,7209,4079,1.286
"The Box Tops","Cry Like a Baby",1968,7206,8626,0.517
"Bee Gees","Lonely Days",1971,7205,6558,0.531
"Oliver","Good Morning Starshine",1969,7204,5327,0.524
"The Backstreet Boys","Larger Than Life",1999,7204,2427,0.511
"Roy Acuff","Wabash Cannonball",1938,7196,6571,0.010
"The Beastie Boys","Intergalactic",1998,7184,2929,1.536
"Gina G","Ooh Aah... Just a Little Bit",1996,7182,2159,1.025
"Oasis","Go Let it Out",2000,7181,201,2.056
"Ricky Martin","She Bangs",2000,7179,1675,1.500
"Haddaway","Life",1993,7178,514,0.515
"George Michael","Too Funky",1992,7176,2392,1.343
"Madonna","Cherish",1989,7176,2787,1.327
"Hanson","I Will Come to You",1997,7174,2398,1.046
"Sheryl Crow","Everyday is a Winding Road",1997,7172,3606,1.069
"OutKast","The Way You Move",2004,7168,5603,0.625
"Rihanna","Hate That I Love You",2007,7163,3679,1.223
"Oasis","The Hindu Times",2002,7156,712,1.368
"Helen Kane","I Wanna Be Loved By You",1928,7149,5962,0.512
"Fergie & will.i.am","Fergalicious",2007,7149,4823,1.054
"OutKast","Roses",2004,7147,418,0.529
"Bruce Channel","Hey Baby",1962,7143,6289,0.511
"Johnny Hates Jazz","Shattered Dreams",1987,7139,3343,1.026
"The Beach Boys","Do it Again",1968,7137,4006,0.518
"The Beastie Boys","Ch-Check it Out",2004,7128,2322,2.111
"Alveno Rey","Deep in the Heart of Texas",1942,7126,6628,0.513
"Faith No More","Easy",1993,7124,1232,1.094
"Missy 'Misdemeanor' Elliott","Lose Control",2005,7122,4573,1.112
"Dionne Farris","I Know",1995,7122,3791,1.694
"Frank Sinatra","All the Way",1957,711,439,0.534
"Mary J Blige & U2","One",2006,7109,512,0.611
"T.I. & Justin Timberlake","Dead & Gone",2009,7098,4317,0.514
"Sousa's Band","Stars & Stripes Forever",1901,7097,5883,0.543
"Neil Diamond","Love On the Rocks",1980,7094,5434,0.513
"All Saints","Pure Shores",2000,7093,712,0.667
"Beats International","Dub Be Good to Me",1990,7093,713,0.511
"Marc Anthony","I Need to Know",1999,709,4554,0.517
"Eric Burdon & War","Spill the Wine",1970,7089,8408,0.523
"Mariah Carey","Love Takes Time",1990,7088,4528,2.045
"Miley Cyrus","Party In The U.s.a.",2009,7085,5026,0.510
"Erasure","Always",1994,7085,284,1.051
"Blur","Song 2",1997,7083,2294,1.025
"New Kids On The Block","Hangin' Tough",1989,7082,4506,0.643
"Sarah McLachlan","Angel",1999,7082,4949,0.511
"String-A-Longs","Wheels",1961,7077,3036,0.522
"Grover Washington Jr","Just the Two of Us",1981,7075,6308,0.529
"Gorillaz","Clint Eastwood",2001,7072,174,0.514
"Aerosmith","Janie's Got a Gun",1990,7071,3415,1.024
"TLC","Red Light Special",1995,7062,4458,1.051
"Sammy Davis Jr","Candy Man",1972,7058,7157,0.512
"The Veronicas","Untouched",2009,705,3529,0.512
"Gym Class Heroes","Cupid's chokehold (Breakfast in America)",2007,7043,4425,0.563
"Sting","All This Time",1991,7038,2445,2.077
"Bruce Springsteen","Human Touch",1992,7032,1274,2.023
"Barenaked Ladies","One Week",1998,703,5298,1.066
"Joe Thomas & Mystikal","Stutter",2001,7025,3878,1.027
"Robert John","Sad Eyes",1979,7021,6061,0.511
"Al Jolson","April Showers",1922,7015,5742,0.611
"Doris Day & Buddy Clark","Love Somebody",1948,7014,485,0.515
"The Osmonds","One Bad Apple",1971,7012,8939,0.519
"Glen Gray","My Heart Tells Me (Should I Believe My Heart)",1944,6998,6783,0.514
"U2","Electrical Storm",2002,6996,715,0.643
"Kool & The Gang","Joanna",1984,6991,3882,1.049
"Nelly","Ride Wit Me",2001,6983,4059,0.510
"Ruby & The Romantics","Our Day Will Come",1963,6983,6236,0.516
"U2","Staring At the Sun",1997,6976,1773,0.520
"Boyz II Men","In The Still Of The Nite (I'll Remember)",1993,6975,471,0.548
"Eric Clapton","Wonderful Tonight",1978,6972,5095,0.515
"Des'ree","You Gotta Be",1995,6971,377,1.167
"Enya","May It Be",2002,6971,2577,0.526
"Busta Rhymes","Turn It Up, Fire It Up",1998,6968,2064,0.511
"Milli Vanilli","Baby Don't Forget My Number",1989,6966,4911,1.272
"Sting & Cheb Mami","Desert Rose",2000,6963,2632,1.056
"Sly & The Family Stone","Dance to the Music",1968,6959,11436,0.529
"Fifth Dimension","Wedding Bell Blues",1969,6957,9186,0.513
"The Beatles","Free As a Bird",1995,6956,1618,2.023
"Glenn Frey","The Heat is On",1985,6952,3674,0.514
"Black Box","Ride On Time",1989,6949,791,0.512
"Guy Lombardo","It's Love-Love-Love",1944,6946,6727,0.515
"KC & The Sunshine Band","Keep it Comin' Love",1977,6946,4642,0.529
"Sweetbox","Everything's Gonna Be Alright",1998,6943,522,2.000
"The Andrews Sisters","Near You",1948,6939,2275,0.512
"The Yardbirds","For Your Love",1965,6934,5914,0.512
"Robbie Williams","Millennium",1998,6933,1228,0.542
"Faith Hill","This Kiss",1998,6929,469,0.526
"Vic Damone","On the Street Where You Live",1956,6923,2773,0.511
"Guns n' Roses","Welcome to the Jungle",1988,6912,4723,1.000
"Missy 'Misdemeanor' Elliott","Get UR Freak On",2001,6911,4423,0.514
"Lawrence Welk","Calcutta",1961,6904,5344,0.559
"MC Hammer","Pray",1990,6895,2264,0.750
"Stardust","Music Sounds Better With You",1998,6893,2288,0.534
"Guy Mitchell","My Heart Cries For You",1951,6889,4629,0.526
"Bryan Adams","The Only Thing That Looks Good On Me is You",1996,6886,519,2.016
"Green Day","Basket Case",1994,6884,3154,1.362
"Oran 'Juice' Jones","The Rain",1986,6884,3411,0.511
"Busta Rhymes & Mariah Carey","I Know What You Want",2003,6884,2454,0.511
"Fat Joe","What's Luv?",2002,6875,2711,0.518
"Billy Idol","Cradle of Love",1990,6874,5294,1.000
"Barry Manilow","I Write the Songs",1976,6866,7011,0.532
"Faith No More","Epic",1990,6865,3758,0.512
"Kid Cudi & Crookers","Day 'n' Nite",2009,6859,4033,0.515
"Britney Spears","Stronger",2000,6855,2056,0.525
"Michael Jackson","Smooth Criminal",1988,6852,2404,0.611
"Eddie Holman","(Hey There) Lonely Girl",1970,6848,7587,0.512
"Stevie Wonder","Yester-Me Yester-You Yesterday",1969,6845,3135,0.517
"House of Pain","Jump Around",1992,6841,5683,1.038
"Doris Day","A Guy is a Guy",1952,6838,5805,0.517
"Art Lund","Mam'selle",1947,6833,6319,0.536
"Shelley Fabares","Johnny Angel",1962,682,5805,0.511
"Genesis","Invisible Touch",1986,6816,4343,0.510
"Connie Francis","My Happiness",1959,6815,3357,0.512
"Michael Bolton","Love is a Wonderful Thing",1991,6813,2882,2.552
"Eminem","Sing For the Moment",2003,6813,2813,0.510
"Depeche Mode","Strangelove",1987,6812,2593,0.514
"Ray Noble","Linda",1947,6808,6317,0.516
"Elton John","I Don't Wanna Go On With You Like That",1988,6807,3118,1.030
"Sheryl Crow","Soak Up the Sun",2002,6805,2873,2.059
"Boyz II Men","4 Seasons of Loneliness",1997,6803,3986,1.516
"Michael Bolton","Said I Loved You But I Lied",1993,68,3532,1.582
"David Bowie","Golden Years",1976,6791,5539,0.510
"Bing Crosby & Grace Kelly","True Love",1956,679,3737,0.516
"Dionne Warwick","Walk On By",1964,6785,10226,0.536
"Billy Vaughn","Melody of Love",1955,6782,5124,0.559
"C&C Music Factory","Here We Go (Let's Rock & Roll)",1991,678,424,1.820
"Paris Hilton","Stars Are Blind",2006,6774,2337,0.750
"Kelly Clarkson","Breakaway",2006,6773,403,1.034
"Russ Morgan","Cruising Down the River",1949,6764,6127,0.518
"Shania Twain","I'm Gonna Getcha Good!",2002,6761,529,0.532
"Arthur Godfrey","Too Fat Polka (I Don't Want Her-You Can Have Her-She's Too Fat For Me)",1947,676,3833,0.512
"U2","Stay (Faraway, So Close!)",1993,676,2136,0.529
"Bon Jovi","Bad Medicine",1988,6755,3605,1.000
"Betty Hutton","Doctor, Lawyer, Indian Chief",1946,6751,6714,0.517
"Dawn","Candida",1970,6747,6145,0.600
"Beyonce","Naughty Girl",2004,6736,378,0.525
"Fastball","The Way",1998,6735,1815,1.583
"Alicia Keys","You Don't Know My Name",2003,6733,2604,2.018
"Depeche Mode","Precious",2005,6728,1464,0.523
"Def Leppard","Love Bites",1988,6722,3629,1.120
"Alphaville","Forever Young",1984,6714,1784,0.518
"Kylie Minogue","2 Hearts",2007,6708,2,0.833
"Destiny's Child","Bills, Bills, Bills",1999,6708,4325,0.516
"Salt-N-Pepa","Shoop",1993,6706,4209,1.039
"Jewel","Hands",1998,6702,2967,1.347
"Rare Earth","Get Ready",1970,6699,6537,0.526
"Chingy","Right Thurr",2003,6697,2795,0.511
"Janet Jackson","When I Think of You",1986,6696,4893,0.534
"The Andrews Sisters","Shoo-Shoo Baby",1944,6695,6462,0.515
"Nickelback","Photograph",2005,6692,3983,0.510
"The Doobie Brothers","Long Train Runnin'",1973,6691,4076,0.512
"Paul Whiteman","Three O'Clock in The Morning",1922,6687,5465,0.591
"Kool & The Gang","Ladies Night",1980,6682,5291,0.526
"The Chemical Brothers","Galvanize",2005,6682,1389,2.018
"Limp Bizkit","Take a Look Around",2000,6673,713,1.529
"U2","Walk On",2001,6665,2726,0.522
"Tom Jones & Mousse T","Sex Bomb",2000,6661,2,0.512
"Marilyn McCoo & Billy Davis Jr","You Don't Have to Be a Star (To Be in My Show)",1977,666,6513,0.522
"Clarence Carter","Patches",1970,6655,7392,0.511
"Christina Milian","Dip it Low",2004,6652,3644,0.667
"Chubby Checker","Pony Time",1961,6648,5698,0.528
"U2","Sometimes You Can't Make it On Your Own",2005,6647,1225,0.521
"Shakira","She Wolf",2009,6631,3569,0.537
"John Cougar Mellencamp & Me'Shell Ndegeocello","One Wild Night",1994,6629,3699,1.025
"Boyz II Men","Water Runs Dry",1995,6625,5035,0.513
"Al Jolson","Toot Toot Tootsie (Goodbye)",1922,6621,3898,0.556
"Jim Lowe","Green Door",1956,6615,4842,0.510
"Sophie B Hawkins","Damn, I Wish I Was Your Lover",1992,6614,3545,1.124
"Shai","If I Ever Fall in Love",1992,6608,4803,1.098
"Roxette","How Do You Do!",1992,6606,517,1.591
"Bon Jovi","Have a Nice Day",2005,6599,1795,1.321
"Cat Stevens","Morning Has Broken",1972,6596,411,0.538
"The Jackson 5","The Love You Save",1970,6592,8788,0.518
"Blood Sweat & Tears","You've Made Me So Very Happy",1969,6592,7651,0.548
"Tom Jones","It's Not Unusual",1965,6592,5691,0.528
"Christophe","Aline",1965,6589,2,0.583
"Roberta Flack & Donny Hathaway","The Closer I Get To You",1978,6587,4735,0.529
"Johnny Nash","Hold Me Tight",1968,6585,6567,0.518
"Aaliyah","Back & Forth",1994,6568,4639,1.261
"Peter, Paul & Mary","Leaving, on a Jet Plane",1969,6564,8162,0.510
"Cher","Strong Enough",1999,6563,1033,0.529
"Luther Vandross & Janet Jackson","The Best Things in Life Are Free",1992,6562,2189,1.216
"Gary Lewis & The Playboys","This Diamond Ring",1965,6556,10088,0.514
"Alicia Keys","If I Ain't Got You",2004,6551,4474,0.833
"Taylor Dayne","I Will Always Love You",1988,654,4458,1.051
"Brenton Wood","Gimme Little Sign",1967,6527,4316,0.515
"The Alan Parsons Project","Eye in the Sky",1982,6521,4379,0.567
"Kim Wilde","You Came",1988,652,725,0.542
"Fleetwood Mac","Little Lies",1987,6515,2511,0.512
"Wyclef Jean & Akon & Lil' Wayne","Sweetest Girl (dollar Bill)",2007,6514,4322,0.512
"Blue Barron & Orchestra","Cruising Down the River",1949,6511,5877,0.518
"Brian McKnight","Back At One",1999,6507,543,1.040
"Evelyn 'Champagne' King","Shame",1978,6505,5587,0.523
"Neil Sedaka","Laughter in the Rain",1975,65,6,1.035
"Barbra Streisand & Barry Gibb","Guilty",1980,6494,542,0.545
"Sophie Ellis-Bextor","Murder On the Dancefloor",2002,6483,201,0.583
"Alicia Bridges","I Love the Nightlife",1978,6476,4702,0.533
"Eminem","Like Toy Soldiers",2005,6473,1279,0.543
"Wilson Phillips","You Won't See Me Cry",1992,6471,1059,2.542
"Ethel Waters","Am I Blue?",1929,647,5307,0.553
"U2","Angel of Harlem",1989,6469,2373,0.700
"Color Me Badd","I Adore Mi Amor",1991,6467,462,2.037
"Gorillaz","Dare",2005,6465,328,0.516
"Michael Jackson","One Day in Your Life",1981,6465,518,0.611
"Leo Reisman","Continental (you Kiss While You're Dancing)",1934,646,4286,0.520
"Craig David","Fill Me In",2000,646,266,0.833
"Mariah Carey","Anytime You Need a Friend",1994,6459,3225,1.060
"The Pet Shop Boys","So Hard",1990,6454,1227,0.700
"KWS","Please Don't Go",1992,6447,2984,0.513
"Richard Marx","Now & Forever",1994,6445,2769,2.089
"Stephanie Mills","Never Knew Love Like This Before",1980,6443,4142,0.511
"Keane","Everybody's Changing",2004,644,1274,1.072
"JoJo","Too Little Too Late",2006,6438,3552,1.061
"Snoop Dogg","What's My Name?",1994,6438,3127,1.747
"Madonna","Deeper & Deeper",1993,6436,2944,1.531
"Green Day","Holiday",2005,6431,4532,0.526
"Blind Melon","No Rain",1993,643,343,0.527
"Jack Johnson","Upside Down",2006,643,2692,2.529
"Gogi Grant","Wayward Wind",1956,6429,65,0.511
"Divinyls","I Touch Myself",1991,6429,4449,0.567
"Curtis Mayfield","Superfly",1973,6422,7101,0.513
"The Cowsills","The Rain, The Park & Other Things",1967,642,7642,0.559
"Ruth Etting","Ten Cents a Dance",1930,6418,5301,0.512
"Madonna","Hanky Panky",1990,6418,206,1.068
"Craig David","7 Days",2000,6416,2173,0.526
"Hamilton, Joe Frank & Reynolds","Don't Pull Your Love",1971,6411,6108,0.524
"Avril Lavigne","When You're Gone",2007,6411,286,1.058
"Michael Jackson","Will You Be There?",1993,6408,3487,0.514
"The Game & 50 Cent","Hate it Or Love It",2005,6408,365,0.529
"Dion & The Belmonts","A Teenager in Love",1959,6406,5634,0.520
"Whitney Houston","Didn't We Almost Have it All",1987,6402,4287,0.611
"Brothers Four","Greenfields",1960,6397,2701,0.526
"The Fugees","Ready Or Not",1996,6392,106,0.516
"Jody Watley","Looking For a New Love",1987,6391,3823,0.524
"Genesis","Hold On My Heart",1992,639,313,1.271
"Crystal Waters","100% Pure Love",1994,639,4048,0.563
"Tom Jones & Art of Noise","Kiss",1988,6389,1633,0.667
"Celine Dion","If You Asked Me To",1992,6389,2955,1.649
"Paula Cole","Where Have All the Cowboys Gone?",1997,6388,3669,1.027
"Duran Duran","I Don't Want Your Love",1988,6378,2301,0.643
"Alanis Morissette","Head Over Feet",1996,6376,2414,1.033
"Roy Orbison","You Got It",1989,6374,1319,1.136
"Paul Whiteman","Smoke Gets in Your Eyes",1934,6373,4215,0.520
"Duke Ellington","Caravan",1937,6371,5263,0.518
"Notorious BIG","Hypnotize",1997,637,4154,0.529
"Johnny Mathis","It's Not For Me to Say",1957,6368,5983,0.536
"Elvis Presley","Bossa Nova Baby",1963,6367,3149,0.514
"Desireless","Voyage Voyage",1987,6363,2,0.510
"Aerosmith","Amazing",1994,6362,2633,0.517
"The Carpenters","Hurting Each Other",1972,6361,6138,0.515
"P Diddy & Mase","Can't Nobody Hold Me Down",1997,636,3824,1.547
"Len","Steal My Sunshine",1999,636,38,1.073
"Lenny Kravitz","It Ain't Over 'till It's Over",1991,6354,4351,1.766
"Jamiroquai","Canned Heat",1999,6351,1234,2.167
"Guy Mitchell","My Truly Truly Fair",1951,6349,4083,0.520
"Ricky Martin","She's All I Ever Had",1999,6343,3833,1.244
"50 Cent","21 Questions",2003,6339,3345,0.521
"The Rolling Stones","Mixed Emotions",1989,6331,1936,2.091
"Gloria Estefan & Miami Sound Machine","Anything For You",1988,6325,4532,0.556
"Kylie Minogue","Love At First Sight",2002,6322,2316,0.523
"Johnny Mercer & Jo Stafford","Candy",1945,6322,512,1.024
"Ace of Base","Beautiful Life",1996,6321,2115,1.298
"The Vengaboys","We Like to Party!",1999,632,1115,0.550
"REM","Imitation of Life",2001,6307,1213,1.204
"Keith Sweat","Twisted",1996,6303,3605,0.514
"No Doubt","Just a Girl",1996,6302,2842,0.521
"SWV","Weak",1993,6301,6316,0.571
"KT Tunstall","Black Horse & the Cherry Tree",2006,63,3633,0.512
"Whitney Houston & Enrique Iglesias","Could I Have This Kiss Forever",2000,6298,519,0.750
"The Mindbenders","A Groovy Kind of Love",1966,6293,6735,0.512
"Bon Jovi","I'll Be There For You",1989,628,4894,1.140
"Elton John","Circle of Life",1994,6279,2869,1.044
"Miami Sound Machine","Conga",1986,6273,2941,0.517
"Sammy Kaye","I'm a Big Girl Now",1946,627,6198,0.511
"Green Day","Time of Your Life (Good Riddance)",1998,6266,4174,1.029
"Paul Robeson","Ol' Man River",1928,6265,5162,0.512
"Debbie Gibson","Foolish Beat",1988,6265,388,0.517
"Nickelback","Far Away",2006,6264,4301,0.531
"The Darkness","I Believe in a Thing Called Love",2003,6262,3073,0.600
"Freddy Martin","Managua, Nicaragua",1947,6261,5758,0.521
"Beyonce","Listen",2007,6258,2316,2.015
"Mel Torme","Careless Hands",1949,6244,4262,0.519
"Genesis","Follow You Follow Me",1978,6233,2317,0.513
"Britney Spears","I'm a Slave 4 U",2001,6232,1583,1.375
"Queen","Heaven For Everyone",1995,6229,513,0.833
"Elvis Presley","Rock a Hula Baby",1962,6228,745,0.548
"James Brown","Living in America",1986,6227,3509,0.511
"John Denver","Sunshine On My Shoulders",1974,6226,6263,0.527
"Don Azpiazu & his Havana Casino Orchestra","The Peanut Vendor",1930,6225,5013,0.625
"Guns n' Roses","Patience",1989,622,4392,1.086
"Sting","Fields of Gold",1993,6217,2789,0.538
"Rod Stewart","Downtown Train",1990,6217,3142,1.139
"Phil Collins","Something Happened On the Way to Heaven",1990,6217,2898,0.545
"PM Dawn","Looking Through Patient Eyes",1993,6216,2922,2.014
"Joe Cocker","You Are So Beautiful",1975,6216,6285,0.529
"Young MC","Bust a Move",1989,6216,5199,0.530
"Peter Frampton","Baby, I Love Your Way",1976,6212,5447,0.524
"Annie Lennox","Why?",1992,621,2261,0.667
"Nirvana","Come As You Are",1992,6203,3959,0.514
"Eric Clapton","Layla (Unplugged)",1992,6203,1619,2.040
"La Bouche","Sweet Dreams (Ola ola e)",1994,6202,279,0.538
"The Cure","Friday, I'm in Love",1992,6198,3339,1.071
"Al Jolson","Sonny Boy",1928,6181,5064,0.534
"Bad English","When I See You Smile",1989,618,4396,1.225
"Frank Sinatra","My Way",1969,6179,6357,0.527
"Judy Garland & Gene Kelly","For Me & My Gal",1943,6173,4273,0.520
"Janet Jackson","Rhythm Nation",1989,6171,3862,1.750
"Martika","Love... Thy Will Be Done",1991,6169,1623,1.162
"Eminem","My Name Is",1999,6166,2913,0.512
"The Backstreet Boys","Drowning",2001,6163,1053,1.859
"Eddie Fisher","Anytime",1952,6155,3998,0.513
"Styx","The Best of Times",1981,6152,4176,0.516
"Ne-Yo","Sexy Love",2006,6151,4897,0.521
"REM","Drive",1992,6149,2261,0.600
"TLC","Diggin' On You",1995,6148,3032,0.625
"The Commodores","Brick House",1977,6147,5204,0.513
"Johnnie Ray","The Little White Cloud that Cried",1951,614,4642,0.530
"Akon","Right Now (Na, Na, Na)",2008,6136,3829,0.524
"America","Sister Golden Hair",1975,6134,5829,0.511
"REM","Man On the Moon",1993,6133,3681,0.518
"Jean Knight","Mr Big Stuff",1971,6127,8663,0.511
"Rudy Vallee & his Connecticut Yankees","Brother, Can You Spare a Dime?",1932,6119,5025,0.517
"Shakira","Objection (Tango)",2002,6116,1621,0.548
"Sade","No Ordinary Love",1992,6115,2095,2.029
"Marcy Playground","Sex & Candy",1998,6114,3494,0.511
"Freddy Martin","Piano Concerto in B Flat",1941,6113,57,0.511
"Bee Gees","Alone",1997,6111,536,1.041
"Louis Armstrong","All of Me",1932,6107,4978,0.553
"Gorillaz","19-2000",2001,6106,722,1.655
"The Commodores","Lady (You Bring Me Up)",1981,6103,443,0.520
"Kelly Rowland","Stole",2003,61,1581,0.527
"Gwen Stefani","Cool",2005,6099,2384,0.513
"Herb Alpert","Rise",1979,6096,6564,0.526
"The Commodores","Still",1979,6089,5103,0.515
"Hootie & The Blowfish","Old Man & Me (When I Get To Heaven)",1996,6083,266,1.261
"Destiny's Child","Jumpin' Jumpin'",2000,6081,3855,0.511
"Eve & Alicia Keys","Gangsta Lovin'",2002,6076,2626,0.556
"Robyn","Show Me Love",1997,6073,3768,1.043
"Phil Collins","Both Sides of the Story",1993,6072,1054,2.018
"Billy Idol","Eyes Without a Face",1984,6064,359,0.516
"Sheryl Crow","My Favourite Mistake",1998,6062,2333,2.016
"Badfinger","No Matter What",1970,6059,3675,0.533
"Isham Jones","Swingin' Down the Lane",1923,6058,4895,0.591
"Ray Anthony","Dragnet",1953,6057,4894,0.519
"Jim Diamond","I Should Have Known Better",1985,6051,2,0.517
"George Michael","Kissing a Fool",1988,6048,1924,1.327
"Nelson","(Can't Live Without Your) Love & Affection",1990,6045,5366,0.600
"Alice Cooper","Poison",1989,6033,3166,0.532
"Avril Lavigne","Nobody's Home",2004,6032,3126,1.026
"Coolio","Fantastic Voyage",1994,603,4394,1.054
"Simon & Garfunkel","I am a Rock",1966,6029,6174,0.512
"Arthur Gibbs & his Gang","Charleston",1924,6029,4461,1.000
"Meat Loaf","I'd Lie For You (And That's the Truth)",1995,6029,1841,0.510
"Joey Scarbury","Theme From 'Greatest American Hero' (Believe It Or Not)",1981,6027,629,0.516
"The Kaiser Chiefs","Ruby",2007,6027,529,0.536
"The Temptations","I Can't Get Next to You",1969,6021,10412,0.511
"Fountains of Wayne","Stacy's Mom",2003,6021,5342,0.514
"Randy Vanwarmer","Just When I Needed You Most",1979,6018,4289,0.550
"Brownstone","If You Love Me",1995,6018,2953,0.556
"New Kids On The Block","I'll Be Loving You (Forever)",1989,6016,4967,1.345
"Janet Jackson","Someone to Call My Lover",2001,6015,2451,2.010
"U2","Elevation",2001,6012,2,0.518
"Miley Cyrus","The Climb",2009,601,3982,0.515
"Jimmy Dorsey","The Breeze & I",1940,601,5329,0.517
"Happenings","See You in September",1966,6006,7659,0.591
"Monica","The First Night",1998,5992,3993,0.625
"D:Ream","He Loves U Not",2001,5991,3456,1.026
"Franz Ferdinand","Do You Want To?",2005,599,283,2.053
"Lily Allen","Smile",2006,5989,2591,0.667
"Soul II Soul","Get a Life",1990,5986,519,1.716
"Patti Austin & James Ingram","Baby, Come to Me",1983,5982,4558,0.523
"The Cure","Love Song",1989,5979,5303,0.559
"Monica","Angel of Mine",1999,5979,5315,0.530
"DJ Jazzy Jeff & The Fresh Prince","Summertime",1991,5975,4412,1.140
"Usher","Confessions Part II",2004,5972,4395,0.518
"Melanie","Lay Down (Candles in The Rain)",1970,5971,375,0.522
"INXS","New Sensation",1988,597,2707,0.519
"Christina Aguilera","Candyman",2007,5967,1853,0.536
"TLC","Baby, Baby, Baby",1992,5965,535,0.667
"Marmalade","Reflections of My Life",1970,5963,4097,0.583
"Bread","Make it With You",1970,5958,9265,0.528
"Barbra Streisand","People",1964,5954,7941,0.514
"Cathy Dennis","Touch Me (All Night Long)",1991,5945,3717,1.666
"Whitney Houston","Step By Step",1997,5944,1317,0.527
"The Killers","Somebody Told Me",2004,5943,3197,0.511
"Travis","Sing",2001,5938,1221,1.273
"Natalie Cole","Pink Cadillac",1988,5935,2773,0.518
"REM","What's the Frequency, Kenneth?",1994,5935,228,0.567
"Bill Conti","Gonna Fly Now (Theme From 'Rocky')",1977,5934,6829,0.531
"Pat Boone","Don't Forbid Me",1957,5929,3513,0.526
"Jose Feliciano","Light My Fire",1968,5924,5058,0.667
"The Doobie Brothers","Listen to the Music",1972,5922,3499,1.028
"Ashanti","Rock Wit U (Awww Baby)",2003,5921,2587,1.513
"Jennifer Lopez","Play",2001,5919,2134,0.521
"Sam Brown","Stop",1988,5917,716,0.512
"N Sync","Pop",2001,5917,1754,1.088
"Guess Who","These Eyes",1969,5903,6914,0.513
"Bon Jovi","Keep the Faith",1992,5899,1044,1.205
"Richard Marx","Angelia",1989,5895,1272,2.019
"Milli Vanilli","All Or Nothing",1990,5891,1778,0.750
"Michael Damian","Rock On",1989,589,4378,1.500
"Seduction","Two To Make It Right",1990,5879,4392,1.500
"Henry Mancini","Days Of Wine & Roses",1963,5877,6277,0.516
"Duke Ellington","Cocktails For Two",1934,5873,4773,0.545
"Paul McCartney","Hope of Deliverance",1993,5872,712,1.157
"INXS","Devil Inside",1988,5871,4351,0.515
"Sarah McLachlan","Adia",1998,5865,3877,0.700
"Michael Bolton","When a Man Loves a Woman",1991,5862,421,1.139
"Daniel Bedingfield","Gotta Get Thru This",2002,5861,2951,0.514
"Paula Abdul","Cold Hearted",1989,5861,5128,1.129
"Poison","Unskinny Bop",1990,5859,4204,1.050
"Destiny's Child","Emotion",2001,5858,216,1.043
"Warren G","I Shot the Sheriff",1997,5856,1812,0.543
"Jigsaw","Sky High",1975,5853,2772,0.577
"Blood Sweat & Tears","And When I Die",1969,5842,5818,0.511
"Metallica","One",1989,583,3264,0.511
"Aretha Franklin","I Say a Little Prayer",1968,5829,5406,0.524
"Janet Jackson & Q-Tip & Joni Mitchell","Got 'Til It's Gone",1997,5829,701,2.014
"Madonna","Rain",1993,5828,2336,1.069
"Gino Vannelli","I Just Wanna Stop",1978,5823,3451,1.054
"Whitney Houston & Faith Evans & Kelly Price","Heartbreak Hotel",1999,5818,3816,0.514
"Tom Jones","Without Love (There Is Nothing)",1970,5813,4344,0.516
"2Pac","Dear Mama",1995,5811,4277,0.512
